step,train_loss,val_loss,lr,elapsed_min,phase
0,4.743548,4.747399,0.00030000,0.12,train
250,2.523899,2.504475,0.00029700,2.10,train
500,2.339492,2.285785,0.00029400,4.02,train
750,1.806989,1.638042,0.00029100,5.93,train
1000,1.241161,0.953402,0.00028800,7.84,train
1250,0.791607,0.481865,0.00028500,9.68,train
1500,0.560194,0.253839,0.00028200,11.53,train
1750,0.493960,0.154269,0.00027900,13.23,train
2000,0.411907,0.119195,0.00027600,15.03,train
2250,0.412233,0.099449,0.00027300,16.71,train
2500,0.399036,0.093635,0.00027000,18.42,train
2750,0.368815,0.089335,0.00026700,20.11,train
3000,0.359805,0.084074,0.00026400,21.79,train
3250,0.363073,0.078828,0.00026100,23.47,train
3500,0.341578,0.076913,0.00025800,25.15,train
3750,0.347510,0.075441,0.00025500,26.85,train
4000,0.252202,0.078364,0.00025200,28.55,train
4250,0.295509,0.071740,0.00024900,30.24,train
4500,0.311983,0.073445,0.00024600,31.93,train
4750,0.283630,0.071617,0.00024300,33.62,train
5000,0.246634,0.073111,0.00024000,35.38,train
5250,0.291447,0.072386,0.00023700,37.46,train
5500,0.273169,0.067376,0.00023400,39.48,train
5750,0.249120,0.067453,0.00023100,42.81,train
6000,0.216783,0.067458,0.00022800,45.89,train
6250,0.228712,0.068067,0.00022500,47.87,train
6500,0.231143,0.066606,0.00022200,49.84,train
6750,0.262607,0.069406,0.00021900,51.52,train
7000,0.218616,0.065902,0.00021600,53.20,train
7250,0.218837,0.066985,0.00021300,54.88,train
7500,0.251892,0.067052,0.00021000,56.57,train
7750,0.198061,0.060553,0.00020700,58.25,train
8000,0.210436,0.061899,0.00020400,59.94,train
8250,0.168736,0.062862,0.00020100,61.61,train
8500,0.205574,0.064917,0.00019800,63.30,train
8750,0.188792,0.063536,0.00019500,65.10,train
9000,0.192883,0.064583,0.00019200,67.09,train
9250,0.183108,0.059787,0.00018900,69.70,train
9500,0.188452,0.060682,0.00018600,72.11,train
9750,0.166465,0.062868,0.00018300,74.36,train
10000,0.148139,0.063084,0.00018000,76.52,train
10250,0.151117,0.062952,0.00017700,78.87,train
10500,0.129831,0.061992,0.00017400,81.18,train
10750,0.117848,0.063972,0.00017100,83.21,train
11000,0.146674,0.061749,0.00016800,85.57,train
11250,0.138469,0.063282,0.00016500,88.27,train
11500,0.127017,0.061854,0.00016200,90.35,train
11750,0.119352,0.060771,0.00015900,92.75,train
12000,0.125487,0.061793,0.00015600,95.10,train
12250,0.126245,0.063385,0.00015300,97.69,train
12500,0.101921,0.060102,0.00015000,99.66,train
12750,0.103961,0.057875,0.00014700,101.46,train
13000,0.101114,0.061100,0.00014400,103.57,train
13250,0.097356,0.058603,0.00014100,106.02,train
13500,0.093254,0.057860,0.00013800,108.54,train
13750,0.096818,0.059185,0.00013500,111.09,train
14000,0.093001,0.059837,0.00013200,113.15,train
14250,0.088942,0.060152,0.00012900,115.00,train
14500,0.084800,0.057907,0.00012600,116.81,train
14750,0.084640,0.061097,0.00012300,119.28,train
15000,0.074564,0.056411,0.00012000,122.17,train
15250,0.084061,0.058593,0.00011700,124.44,train
15500,0.073511,0.062672,0.00011400,126.38,train
15750,0.068126,0.056529,0.00011100,128.13,train
16000,0.073616,0.052025,0.00010800,129.84,train
16250,0.069300,0.059948,0.00010500,131.56,train
